frame,theta_ab_deg,delta_deg,kappa,kappa_2d,kappa_ratio_abs,separation_A,J_cm,J_pda_cm,shift_1pa_cm
0,102.6718499,38.66407503,1.571369725,-1.609683443,0.9761979798,25.72602252,29.39439489,25.23558955,-6.448156893
1,105.4290749,37.28546253,1.574012747,-1.633022658,0.9638646096,25.6611236,30.2288323,25.47031108,-8.042239265
2,100.6087089,39.69564555,1.522169098,-1.592050377,0.9561061136,25.16019568,30.76627266,26.13207328,-5.664093979
3,103.7270558,38.13647211,1.573471226,-1.618648449,0.97208954,24.69681958,33.59910603,28.56200744,-7.972963614
4,104.7019315,37.64903426,1.529132361,-1.626895276,0.9399082926,25.28838717,30.96232173,25.85441365,-7.857944711
5,100.2921081,39.85394596,1.51758089,-1.589333347,0.9548537398,26.07717901,27.66394071,23.40038667,-4.942624809
6,104.7881338,37.60593312,1.456706585,-1.627622759,0.8949903019,25.55329438,28.78685121,23.87175776,-7.347714764
7,103.1119023,38.44404886,1.530681916,-1.613426815,0.9487148108,25.66569167,29.43748968,24.75591842,-6.678001405
8,102.2049694,38.89751531,1.485587735,-1.605704784,0.925193566,25.81305504,28.46572244,23.61745479,-6.01792611
9,102.8460702,38.57696491,1.508531483,-1.61116626,0.9362978363,25.56432639,29.64468377,24.68904702,-6.590977264
10,102.1603088,38.91984561,1.496150567,-1.605323824,0.9319929999,24.89838504,32.04702912,26.50420457,-6.750631317
11,100.9297957,39.53510216,1.443603732,-1.594803034,0.9051924915,25.77690657,27.57525326,23.04669282,-5.22843535
12,103.134384,38.432808,1.57094291,-1.613617882,0.9735532357,24.95593847,32.62890113,27.63705059,-7.414453246
13,101.8088732,39.09556338,1.453009745,-1.602323822,0.906814044,25.70062202,28.13232428,23.40402931,-5.757213881
14,102.0254462,38.98727688,1.558500276,-1.604173043,0.9715287782,25.50897416,30.11862546,25.67325366,-6.275097722
15,102.5332796,38.73336018,1.537380934,-1.608503324,0.9557834981,25.32807026,30.71942754,25.87189225,-6.666320012
16,99.49214048,40.25392976,1.506317947,-1.582456156,0.9518860548,25.56786458,29.38347167,24.64258641,-4.845696221
17,101.4677301,39.26613495,1.51328231,-1.599407997,0.9461515219,25.32699636,30.3174269,25.46958692,-6.027589351
18,100.6210668,39.6894666,1.524774588,-1.592156374,0.957678914,25.18973923,31.09559982,26.08480775,-5.731315474
19,98.95897512,40.52051244,1.502599262,-1.577863611,0.9522998386,25.36085952,29.84637149,25.18861427,-4.647892495
20,99.1027996,40.4486002,1.461570367,-1.579103157,0.9255699101,25.60722585,28.49804149,23.80044864,-4.508570108
21,96.37438551,41.81280725,1.489360561,-1.555512325,0.9574726844,25.52524893,28.83795112,24.48741271,-3.201723429
22,101.0020197,39.49899017,1.536191917,-1.595421799,0.9628750958,25.20140964,31.00417532,26.24363473,-5.916948346
23,99.77132561,40.1143372,1.462430639,-1.584858159,0.9227517495,25.34638383,29.45980757,24.55728017,-4.999810073
24,100.1376749,39.93116256,1.481836152,-1.588007024,0.933142064,25.5655471,28.94920774,24.24866996,-5.095467264
25,102.3808715,38.80956426,1.555111435,-1.607204624,0.9675877062,24.78025568,33.09381989,27.94455356,-7.095621021
26,102.6182182,38.69089091,1.551069865,-1.60922677,0.9638603422,25.36927586,30.94698704,25.9752752,-6.760478865
27,100.4939785,39.75301075,1.508878943,-1.591066095,0.9483446023,24.43767813,33.88034335,28.27011572,-6.170701107
28,100.429564,39.78521798,1.523057108,-1.590513317,0.9575884036,25.11631192,31.06634777,26.28461339,-5.623836364
29,97.87721432,41.06139284,1.474933944,-1.568525312,0.9403316178,25.16762406,29.97730834,25.29874201,-4.108408824
30,99.31670106,40.34164947,1.517006415,-1.580945736,0.9595562836,24.89657912,31.84888335,26.8795129,-5.156062588
31,101.5831683,39.20841587,1.504748016,-1.600395072,0.940235347,24.76492258,32.55695985,27.08980415,-6.537116635
32,99.58617848,40.20691076,1.512978935,-1.583265445,0.9556066172,25.06021895,31.03549944,26.28641186,-5.168369314
33,99.1704533,40.41477335,1.46411889,-1.579686056,0.9268416874,25.35980435,29.2159901,24.54661764,-4.656214072
34,102.0257574,38.98712131,1.546724626,-1.604175699,0.9641865458,25.19452044,31.25088768,26.44525268,-6.511166113
35,102.467638,38.766181,1.445012171,-1.607944072,0.8986706664,25.44179595,29.06323819,23.99281578,-6.274408571
36,106.6943815,36.65280927,1.567450371,-1.643633296,0.9536496823,25.20064412,32.19366494,26.7800809,-9.248164424
37,97.01476387,41.49261806,1.481881251,-1.561062548,0.9492773067,25.09057991,30.22135588,25.65277285,-3.690786014
38,100.7341093,39.63294534,1.501987988,-1.593125776,0.9427930992,25.40196811,30.00512424,25.05632478,-5.588500945
39,99.86372714,40.06813643,1.501891581,-1.585652706,0.9471756176,25.28346654,30.19638509,25.40865855,-5.17280419
40,98.22720982,40.88639509,1.48621669,-1.571549482,0.9457014921,25.26488776,29.73227318,25.19898362,-4.254657466
41,97.39010918,41.30494541,1.504320429,-1.564312202,0.9616497439,24.99848344,30.89835694,26.33009194,-3.974282777
42,96.43620746,41.78189627,1.473023392,-1.556048456,0.9466436513,25.09301317,30.18919718,25.49201759,-3.384115751
43,100.544739,39.7276305,1.492172871,-1.591501619,0.9375880325,25.36485875,30.08276289,25.00200314,-5.505242996
44,96.18911131,41.90544435,1.45236149,-1.553905211,0.9346525646,24.72366729,31.22834126,26.27780363,-3.366740642
45,97.29294185,41.35352907,1.45753859,-1.563471209,0.9322452384,24.99918573,30.3762215,25.50912034,-3.856031013
46,99.32076326,40.33961837,1.458918046,-1.580980717,0.9227930679,25.39404254,28.87966669,24.36062227,-4.677392241
47,101.595907,39.20204648,1.508464037,-1.600503972,0.9424931543,24.86173546,31.8189629,26.84068823,-6.39586431
48,99.66059944,40.16970028,1.496460317,-1.583905751,0.9447912646,24.90762348,31.5551205,26.48020472,-5.295312151
49,102.6145285,38.69273573,1.482405621,-1.609195349,0.9212092377,24.28412356,34.01772617,28.30432229,-7.429154977
50,102.1382072,38.93089639,1.49684118,-1.605135271,0.932532732,24.91140103,31.64512433,26.47489661,-6.654037472
51,103.3455547,38.32722264,1.477876924,-1.61541171,0.9148608463,24.84572488,32.0011395,26.34730883,-7.386612447
52,97.65769382,41.17115309,1.472928263,-1.566627212,0.9401906537,24.5045966,32.69902923,27.37107992,-4.357290326
53,99.18698677,40.40650661,1.458262699,-1.579828491,0.9230512728,24.7549677,31.4879878,26.28461892,-5.027277087
54,100.9461921,39.52690394,1.516502138,-1.594943521,0.9508187081,24.56538202,33.32879009,27.97212561,-6.328705333
55,101.6420153,39.17899237,1.475131048,-1.600898097,0.9214396914,25.01686531,30.88041869,25.76231836,-6.231550959
56,102.259826,38.87008701,1.521133315,-1.60617263,0.9470546857,24.9573528,32.01735531,26.75621846,-6.798733636
57,100.2851417,39.85742915,1.515598735,-1.589273531,0.9536424699,24.57462886,32.92036588,27.92391718,-5.877834603
58,103.7564814,38.12175932,1.534431049,-1.618897885,0.9478244819,24.39870109,34.51586479,28.88685544,-8.207726646
59,103.6953058,38.15234712,1.482540122,-1.618379273,0.916064699,25.06593102,30.91403005,25.73996456,-7.319160812
60,103.5787491,38.21062547,1.537182313,-1.617390799,0.9504087166,25.48985825,29.88516492,25.37909477,-7.016486769
61,106.0637645,36.96811777,1.516919903,-1.638353486,0.9258807184,25.25283066,30.94078942,25.75641773,-8.561532177
62,102.2000653,38.89996734,1.461681435,-1.605662955,0.910328927,24.79820151,31.60933654,26.20868231,-6.679871832
63,101.0990289,39.45048557,1.496703126,-1.596252667,0.937635474,24.99418557,31.48861377,26.21028274,-6.06172611
64,99.78723252,40.10638374,1.477737259,-1.584994956,0.9323293134,25.29706345,29.80711636,24.95973115,-5.066909085
65,102.4057616,38.79711919,1.510071602,-1.60741677,0.9394399949,25.16308268,30.97176475,25.91546563,-6.653773841
66,101.3286884,39.33565579,1.519196849,-1.59821856,0.9505563801,25.05233868,31.39020246,26.41935667,-6.166200989
67,104.1966712,37.90166439,1.531209762,-1.622625531,0.94366182,25.06321538,31.87732088,26.59361273,-7.817946811
68,99.80762617,40.09618691,1.46544429,-1.585170329,0.9244711834,24.88738139,30.94556698,25.99469422,-5.27128822
69,103.3416099,38.32919505,1.480237291,-1.615378214,0.9163410019,24.90406438,31.49982638,26.20436617,-7.26878741
70,101.5995402,39.2002299,1.519144544,-1.60053503,0.9491479509,24.78164703,32.43040504,27.29364933,-6.520783491
71,107.3082181,36.34589093,1.552322012,-1.648755908,0.9415111145,24.4192733,35.06986228,29.14986979,-10.4336984
72,99.75836002,40.12081999,1.532437628,-1.584746652,0.9669921853,24.79928558,32.56731811,27.47377312,-5.519942364
73,100.4730595,39.76347025,1.47304049,-1.590886589,0.9259242613,24.39326269,33.51372792,27.74968236,-6.091896851
74,99.58620547,40.20689726,1.468755281,-1.583265677,0.9276745542,24.81551804,31.58960985,26.28042677,-5.260660486
75,100.7011177,39.64944115,1.488888162,-1.592842892,0.9347363573,24.91170073,31.59353064,26.33327975,-5.866469498
76,100.0811099,39.95944507,1.50752797,-1.587521065,0.9496113174,24.97048173,31.32945271,26.47510101,-5.48397415
77,101.5655743,39.21721286,1.468305499,-1.600244657,0.9175506336,25.52137604,29.3173221,24.15222663,-5.877809821
78,103.3491909,38.32540455,1.511772557,-1.615442584,0.9358256192,24.4412634,34.32247204,28.31186722,-7.924549735
79,102.0116336,38.99418319,1.537710498,-1.604055147,0.9586394213,24.70370048,33.38954174,27.88955276,-6.948707368
80,104.6738378,37.66308112,1.480876374,-1.626658124,0.910379601,24.64547602,32.89821956,27.04955853,-8.333653518
81,101.4199392,39.29003038,1.512155099,-1.598999234,0.9456884448,24.68528932,32.92556547,27.4874646,-6.519211518
82,98.74612664,40.62693668,1.467109577,-1.576028285,0.9308903849,25.23250416,29.98187299,24.97091757,-4.558940762
83,101.7736549,39.11317256,1.513309633,-1.602022969,0.9446241796,24.67514419,32.72508503,27.5423954,-6.677420672
84,99.13609297,40.43195351,1.413570187,-1.579390024,0.8950102034,24.82255331,30.22567496,25.2715006,-4.799234135
85,106.286479,36.8567605,1.527140109,-1.6402201,0.9310580382,24.44869228,34.73076232,28.57360192,-9.739901954
86,100.7825855,39.60870726,1.474752562,-1.593541374,0.9254560853,24.48281191,32.91347411,27.47820005,-6.157543207
87,104.8578354,37.57108231,1.519875943,-1.628210778,0.9334638753,24.1469585,35.7537595,29.51711067,-9.168034653
88,101.1203022,39.43984892,1.471756626,-1.596434833,0.9219021005,24.62900058,32.42198176,26.93696379,-6.253216769
89,103.5810987,38.20945065,1.498615048,-1.61741073,0.9265519387,24.23115277,35.18541049,28.80188232,-8.262289467
90,105.5747442,37.21262788,1.537025012,-1.634247618,0.9405092563,24.12325333,35.71692634,29.93824317,-9.589824576
91,102.0828583,38.95857087,1.555092642,-1.60466301,0.9691085495,24.33070226,35.07074304,29.52197062,-7.341219074
92,105.0528167,37.47359163,1.497769258,-1.629854675,0.9189587762,24.47958239,33.84901301,27.91810316,-8.790905186
93,100.45865,39.770675,1.482035613,-1.590762935,0.9316508331,24.03153113,35.05654105,29.198956,-6.363669083
94,101.6792174,39.16039131,1.521856153,-1.601216047,0.9504377352,24.02511516,35.89570399,30.00752525,-7.266442499
95,100.7805024,39.60974882,1.535423969,-1.593523517,0.9635402004,24.5564677,33.58808234,28.35199584,-6.282551161
96,101.3313,39.33435,1.460533587,-1.598240907,0.9138381959,24.35745366,33.00094765,27.63560033,-6.484086027
97,102.6469483,38.67652584,1.514710303,-1.609471418,0.9411228342,24.69026432,32.64904412,27.51727167,-7.148274343
98,104.8463416,37.57682919,1.53711655,-1.628113827,0.9441087743,24.79304595,32.89599694,27.57846896,-8.428864132
99,101.0962474,39.45187631,1.48896982,-1.596228848,0.9328047301,24.3617762,33.72042626,28.15866475,-6.489755545
100,102.9089994,38.54550032,1.481652368,-1.611701609,0.9193093562,24.92455312,31.35700758,26.16478605,-7.005256381
101,100.5375914,39.7312043,1.526359148,-1.591440297,0.9591055043,24.60191899,33.18676876,28.02868943,-6.069215973
102,99.32947067,40.33526466,1.51328942,-1.5810557,0.957138588,24.7364527,32.60771571,27.33774854,-5.286082416
103,101.2336252,39.38318739,1.522896994,-1.597405006,0.9533568434,24.89474528,31.79979835,26.98985046,-6.194919089
104,104.2137635,37.89311824,1.570304296,-1.622770129,0.9676689679,24.38899157,34.88961756,29.5975183,-8.566805689
105,98.88800952,40.55599524,1.459031474,-1.577251815,0.9250466287,24.51078089,32.37337985,27.09232192,-5.001804679
106,101.9163361,39.04183196,1.538413351,-1.603241584,0.9595642767,24.51839798,33.61007814,28.53972469,-6.939915402
107,103.3268348,38.33658258,1.540547999,-1.615252753,0.9537504248,24.51951151,34.01366107,28.57543188,-7.840336165
108,101.5822688,39.2088656,1.496198391,-1.600387382,0.9348976425,24.97158917,31.23427956,26.272636,-6.27105512
109,103.2253639,38.38731804,1.494847321,-1.614390918,0.9259512704,24.75918742,32.51117719,26.9302686,-7.437966794
110,100.5474348,39.7262826,1.531131248,-1.591524747,0.962053057,24.48768887,33.40472904,28.51162914,-6.114718726
111,98.3200859,40.83995705,1.465693437,-1.572351543,0.9321665019,25.08894249,29.58846595,25.37751453,-4.281542314
112,99.30415528,40.34792236,1.467575922,-1.580837695,0.9283533196,24.93691942,30.66775669,25.87767068,-4.958221547
113,103.9663826,38.01680868,1.489652947,-1.620676274,0.9191551519,24.92116866,31.7582239,26.3167889,-7.664928284
114,99.45443841,40.2727808,1.439495324,-1.58213163,0.9098454873,25.54719292,28.11735877,23.60661435,-4.618649005
115,102.0586651,38.97066746,1.52106356,-1.604456553,0.9480241501,24.78912665,32.32163451,27.30339756,-6.752413052
116,95.49414368,42.25292816,1.470761596,-1.547872005,0.9501829552,24.92709359,30.50629295,25.9645236,-2.920794835
117,101.1346425,39.43267873,1.52915674,-1.596557623,0.95778362,24.75379547,32.74607738,27.56637237,-6.323766809
118,100.8974718,39.55126408,1.502385051,-1.594526057,0.9422141735,25.18462411,30.5164516,25.71744641,-5.769199691
119,104.8295266,37.58523671,1.487932916,-1.627971982,0.9139794377,24.61013089,33.07542286,27.29572225,-8.465454806
120,101.7824391,39.10878045,1.518471551,-1.602098012,0.9478019068,25.10320143,31.14777031,26.24655672,-6.360250847
121,104.5910345,37.70448276,1.525241205,-1.625958965,0.9380563949,24.81127122,32.89781691,27.30514523,-8.287549946
122,103.0073702,38.4963149,1.493692869,-1.612538195,0.926299218,24.6140986,33.04554832,27.38813811,-7.43777272
123,104.8055692,37.5972154,1.528571493,-1.627769866,0.9390587236,24.56963698,33.84632619,28.18010109,-8.649081152
124,103.6819273,38.15903636,1.533620604,-1.61826584,0.947693862,24.95461506,32.05932028,26.98474505,-7.583044886
125,106.2945505,36.85272474,1.526738073,-1.64028771,0.9307745612,24.70146038,33.37673992,27.69807937,-9.364692796
126,102.9002343,38.54988285,1.464008755,-1.611627051,0.9084041832,24.96212657,30.83597047,25.73664552,-6.8842569
127,100.6554184,39.67229081,1.530275991,-1.592450996,0.9609564093,24.8098666,32.43769391,27.39993211,-5.997794227
128,108.1133077,35.94334613,1.558517847,-1.655448596,0.9414474428,24.48703793,34.93016027,29.0239173,-10.85968874
129,99.88596028,40.05701986,1.508769278,-1.585843852,0.9513983839,24.47054307,33.56005619,28.15431849,-5.761849013
130,102.3928102,38.80359491,1.523617679,-1.607306383,0.9479323263,24.97447907,31.85348731,26.74482116,-6.836165047
131,102.8719292,38.56403542,1.556284298,-1.611386263,0.9658046206,24.96024801,32.14092066,27.36498767,-7.160114081
132,102.9328194,38.53359028,1.512678651,-1.611904215,0.9384420221,24.65642963,33.17663577,27.59364804,-7.425210757
133,105.9908081,37.00459593,1.551178421,-1.637741569,0.9471448061,24.73179273,33.52711972,28.0380606,-9.236156177
