wavenumber_cm,absorption,cd
17537.0000,1.08645274e-03,-5.30365190e+01
17537.4501,1.08760501e-03,-5.31166924e+01
17537.9002,1.08875913e-03,-5.31970277e+01
17538.3503,1.08991509e-03,-5.32775253e+01
17538.8005,1.09107291e-03,-5.33581856e+01
17539.2506,1.09223259e-03,-5.34390090e+01
17539.7007,1.09339413e-03,-5.35199959e+01
17540.1508,1.09455753e-03,-5.36011467e+01
17540.6009,1.09572281e-03,-5.36824619e+01
17541.0510,1.09688996e-03,-5.37639418e+01
17541.5011,1.09805899e-03,-5.38455869e+01
17541.9512,1.09922990e-03,-5.39273977e+01
17542.4014,1.10040269e-03,-5.40093744e+01
17542.8515,1.10157738e-03,-5.40915176e+01
17543.3016,1.10275396e-03,-5.41738276e+01
17543.7517,1.10393244e-03,-5.42563050e+01
17544.2018,1.10511282e-03,-5.43389500e+01
17544.6519,1.10629511e-03,-5.44217632e+01
17545.1020,1.10747931e-03,-5.45047450e+01
17545.5521,1.10866542e-03,-5.45878958e+01
17546.0023,1.10985345e-03,-5.46712160e+01
17546.4524,1.11104341e-03,-5.47547060e+01
17546.9025,1.11223529e-03,-5.48383664e+01
17547.3526,1.11342911e-03,-5.49221975e+01
17547.8027,1.11462486e-03,-5.50061998e+01
17548.2528,1.11582255e-03,-5.50903736e+01
17548.7029,1.11702218e-03,-5.51747195e+01
17549.1530,1.11822377e-03,-5.52592379e+01
17549.6032,1.11942730e-03,-5.53439293e+01
17550.0533,1.12063279e-03,-5.54287940e+01
17550.5034,1.12184025e-03,-5.55138325e+01
17550.9535,1.12304967e-03,-5.55990452e+01
17551.4036,1.12426106e-03,-5.56844327e+01
17551.8537,1.12547442e-03,-5.57699953e+01
17552.3038,1.12668976e-03,-5.58557335e+01
17552.7539,1.12790709e-03,-5.59416478e+01
17553.2041,1.12912640e-03,-5.60277386e+01
17553.6542,1.13034770e-03,-5.61140064e+01
17554.1043,1.13157100e-03,-5.62004515e+01
17554.5544,1.13279630e-03,-5.62870746e+01
17555.0045,1.13402360e-03,-5.63738760e+01
17555.4546,1.13525291e-03,-5.64608561e+01
17555.9047,1.13648424e-03,-5.65480156e+01
17556.3548,1.13771758e-03,-5.66353547e+01
17556.8050,1.13895295e-03,-5.67228740e+01
17557.2551,1.14019034e-03,-5.68105740e+01
17557.7052,1.14142976e-03,-5.68984551e+01
17558.1553,1.14267122e-03,-5.69865177e+01
17558.6054,1.14391472e-03,-5.70747624e+01
17559.0555,1.14516026e-03,-5.71631896e+01
17559.5056,1.14640785e-03,-5.72517999e+01
17559.9557,1.14765750e-03,-5.73405935e+01
17560.4059,1.14890920e-03,-5.74295712e+01
17560.8560,1.15016297e-03,-5.75187332e+01
17561.3061,1.15141880e-03,-5.76080802e+01
17561.7562,1.15267671e-03,-5.76976125e+01
17562.2063,1.15393669e-03,-5.77873307e+01
17562.6564,1.15519875e-03,-5.78772352e+01
17563.1065,1.15646290e-03,-5.79673265e+01
17563.5566,1.15772913e-03,-5.80576052e+01
17564.0068,1.15899747e-03,-5.81480717e+01
17564.4569,1.16026790e-03,-5.82387264e+01
17564.9070,1.16154044e-03,-5.83295700e+01
17565.3571,1.16281508e-03,-5.84206028e+01
17565.8072,1.16409184e-03,-5.85118253e+01
17566.2573,1.16537072e-03,-5.86032382e+01
17566.7074,1.16665171e-03,-5.86948418e+01
17567.1575,1.16793484e-03,-5.87866366e+01
17567.6077,1.16922010e-03,-5.88786232e+01
17568.0578,1.17050750e-03,-5.89708021e+01
17568.5079,1.17179704e-03,-5.90631737e+01
17568.9580,1.17308872e-03,-5.91557386e+01
17569.4081,1.17438256e-03,-5.92484973e+01
17569.8582,1.17567855e-03,-5.93414502e+01
17570.3083,1.17697670e-03,-5.94345980e+01
17570.7584,1.17827702e-03,-5.95279410e+01
17571.2086,1.17957951e-03,-5.96214799e+01
17571.6587,1.18088418e-03,-5.97152150e+01
17572.1088,1.18219102e-03,-5.98091471e+01
17572.5589,1.18350005e-03,-5.99032764e+01
17573.0090,1.18481127e-03,-5.99976037e+01
17573.4591,1.18612469e-03,-6.00921294e+01
17573.9092,1.18744031e-03,-6.01868539e+01
